scenario_id,scenario_name,factory_id,part_category,part_label,requested_quantity,capacity_units_30d,adjusted_capacity_units_30d,capacity_tier,capacity_index,capacity_confidence,grid_zone_id,grid_dependency_score,outage_output_multiplier,hub_id,hub_name,destination_type,destination_factory_id,destination_name,destination_site_label,route_distance_km,duration_min,fuel_liters_per_trip,driver_hours_per_trip,estimated_trip_cost_krw,routing_provider,routing_status,route_geometry_source,route_geometry_points,route_road_summary,routing_note,risk,risk_reason,status
baseline,Baseline Production Plan,fac_priority_d8652de781,drone_assembly,Drone / Final Assembly,834,1450,1435,A,0.78,0.86,grid_zone_e6011691,0.487,0.698,fac_priority_d8652de781,본AI · 상주 생산공장,priority_final_assembly_factory,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_a2d8939ba2,drone_assembly,Drone / Final Assembly,834,1200,1188,A,0.78,0.84,grid_zone_bfcc2516,0.727,0.549,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_d14c61f1b0,drone_assembly,Drone / Final Assembly,834,1350,1336,A,0.78,0.85,grid_zone_4f20da2a,0.454,0.719,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,priority_final_assembly_factory,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_ee105ea137,drone_assembly,Drone / Final Assembly,834,860,851,B,0.78,0.7,grid_zone_3964bd52,0.488,0.697,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,priority_final_assembly_factory,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_7660b03367,drone_assembly,Drone / Final Assembly,833,2100,2079,A,0.78,0.87,grid_zone_c6caac65,0.423,0.738,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,priority_final_assembly_factory,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_f1709ef7e1,drone_assembly,Drone / Final Assembly,833,1280,1267,A,0.78,0.84,grid_zone_bfcc2516,0.727,0.549,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_ffb4309405,drone_assembly,Drone / Final Assembly,833,980,970,B,0.78,0.82,grid_zone_c6caac65,0.416,0.742,fac_priority_ffb4309405,피앤유드론 / PNU Drone · 부산 제1공장,priority_final_assembly_factory,fac_priority_ffb4309405,피앤유드론 / PNU Drone · 부산 제1공장,부산 제1공장,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_38de94e360,drone_assembly,Drone / Final Assembly,833,1350,1336,A,0.78,0.82,grid_zone_ed9208b5,0.405,0.749,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,priority_final_assembly_factory,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_115bd4ae5d,drone_assembly,Drone / Final Assembly,833,980,970,B,0.78,0.76,grid_zone_bfcc2516,0.72,0.554,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI · 두산기술원,priority_final_assembly_factory,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI · 두산기술원,두산기술원,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_3872d4e82a,drone_assembly,Drone / Final Assembly,833,900,891,B,0.78,0.76,grid_zone_4f20da2a,0.445,0.724,fac_priority_3872d4e82a,숨비 / SOOMVI · 인천 본사 / 연구소,priority_final_assembly_factory,fac_priority_3872d4e82a,숨비 / SOOMVI · 인천 본사 / 연구소,인천 본사 / 연구소,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_5daa57ca08,drone_assembly,Drone / Final Assembly,833,980,970,B,0.78,0.82,grid_zone_4f20da2a,0.45,0.721,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,priority_final_assembly_factory,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_4bcce541d9,drone_assembly,Drone / Final Assembly,833,780,772,B,0.78,0.72,grid_zone_4f20da2a,0.442,0.726,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,priority_final_assembly_factory,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,인천 로봇타워 R&D·제조거점,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_0469d3cc51,flight_stack,Flight Stack / Electronics,2128,2150,2128,B,0.689,0.872,grid_zone_bfcc2516,0.741,0.541,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,9.4,13.6,1.4,0.23,8800,OSRM public demo server,routed,,32,6 / 경강로 6.0km → 45 0.5km → 16 / 북한강로 0.8km → 다산로 1.4km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_2efdf8c1a1,flight_stack,Flight Stack / Electronics,1881,1900,1881,B,0.672,0.862,grid_zone_bfcc2516,0.74,0.541,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,12.9,18.9,2.0,0.32,12200,OSRM public demo server,routed,,33,unnamed road 0.5km → 고래산로451번길 1.1km → 8 / 재재기로 1.9km → 45 / 북한강로 7.7km → 다산로 1.4km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_9b86d99440,flight_stack,Flight Stack / Electronics,1782,1800,1782,B,0.658,0.862,grid_zone_bfcc2516,0.74,0.541,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,21.3,22.1,3.3,0.37,15900,OSRM public demo server,routed,,40,345 / 여양2로 5.3km → 88 / 고달사로 0.8km → unnamed road 2.1km → 52: 동서울 0.5km → 52 / 광주원주고속도로 8.3km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_6bedc85f6e,flight_stack,Flight Stack / Electronics,1757,1775,1757,B,0.636,0.862,grid_zone_bfcc2516,0.74,0.541,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,17.4,40.3,2.7,0.67,23400,OSRM public demo server,routed,,45,unnamed road 1.7km → 345 / 여양2로 2.4km → 341 / 대평로 6.3km → 70 / 지평로 0.8km → 70 / 여양1로 6.0km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_42e82c2139,flight_stack,Flight Stack / Electronics,1856,1875,1856,B,0.642,0.842,grid_zone_bfcc2516,0.74,0.541,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,priority_final_assembly_factory,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,38.3,37.2,5.9,0.62,27400,OSRM public demo server,routed,,20,unnamed road 0.5km → 3 / 신평화로 23.1km → 3 / 동일로 13.8km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_6e28ddc870,flight_stack,Flight Stack / Electronics,596,1800,1782,B,0.621,0.842,grid_zone_bfcc2516,0.74,0.541,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI · 두산기술원,priority_final_assembly_factory,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI · 두산기술원,두산기술원,24.7,29.2,3.8,0.49,20100,OSRM public demo server,routed,,57,탑선길 1.2km → 88 / 정영로 4.3km → 88 / 왕창로 1.0km → 88 / 강남로 7.0km → 342 / 강상로 5.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_c788629a58,power,Battery / Power,1559,1575,1559,B,0.72,0.892,grid_zone_2d0a6a6a,0.642,0.602,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,priority_final_assembly_factory,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,133.1,111.7,20.5,1.86,86900,OSRM public demo server,routed,,28,619 / 한천로 2.9km → 30 / 서산영덕고속도로 3.3km → 15 / 서해안고속도로 35.6km → 153 / 평택시흥고속도로 40.5km → 330 / 제3경인고속화도로 3.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_167cd638df,power,Battery / Power,1237,1250,1237,C,0.588,0.893,grid_zone_bfcc2516,0.77,0.523,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,priority_final_assembly_factory,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,1.2,2.5,0.2,0.04,1500,OSRM public demo server,routed,,9,road step summary unavailable,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_1a38150c72,power,Battery / Power,1262,1275,1262,C,0.603,0.893,grid_zone_bfcc2516,0.77,0.523,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,14.4,20.6,2.2,0.34,13400,OSRM public demo server,routed,,31,unnamed road 0.9km → 341; 342 / 지평의병로 0.6km → 지평로 0.7km → 70 / 지평로 6.1km → 70 / 여양1로 6.0km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_40abaf57ad,power,Battery / Power,1460,1475,1460,B,0.663,0.892,grid_zone_fabab736,0.493,0.694,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,priority_final_assembly_factory,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,92.7,81.1,14.3,1.35,62100,OSRM public demo server,routed,,37,"unnamed road 2.2km → 1; 21 / 선비로 3.9km → 25 / 호남고속도로 80.0km → 유성, 계룡산국립공원, 국립대전현충원 0.8km → 월드컵대로 0.5km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_20b0a23ce0,power,Battery / Power,1138,1150,1138,C,0.543,0.86,grid_zone_2d0a6a6a,0.642,0.602,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,priority_final_assembly_factory,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,142.8,113.8,22.0,1.9,90500,OSRM public demo server,routed,,30,647 / 해운로 2.9km → unnamed road 2.1km → 15 / 서해안고속도로 53.1km → 153 / 평택시흥고속도로 40.5km → 330 / 제3경인고속화도로 3.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_681c5ac79f,power,Battery / Power,1064,1075,1064,C,0.552,0.893,grid_zone_bfcc2516,0.77,0.523,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,16.2,17.4,2.5,0.29,12400,OSRM public demo server,routed,,15,오빈길 0.7km → 6 / 경강로 2.9km → 양평로 8.3km → 37 / 개군로 0.8km → 37 / 여양로 2.3km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_083c0288da,propulsion,Motor / Propulsion,4653,4700,4653,B,0.634,0.862,grid_zone_bfcc2516,0.737,0.543,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,27.0,29.8,4.2,0.5,21000,OSRM public demo server,routed,,29,43; 45 / 회안대로 3.3km → unnamed road 1.7km → 35 / 중부고속도로 9.8km → 189 / 창우로 2.2km → 45 6.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_e67713f287,propulsion,Motor / Propulsion,4900,4950,4900,B,0.673,0.842,grid_zone_bfcc2516,0.737,0.543,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,24.9,32.3,3.8,0.54,21600,OSRM public demo server,routed,,30,용천로 7.3km → 37 / 마유산로 3.4km → 6; 37; 44 / 경강로 1.1km → 양평로 8.3km → 37 / 개군로 0.8km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_6884b83922,propulsion,Motor / Propulsion,4826,4875,4826,B,0.646,0.862,grid_zone_bfcc2516,0.737,0.543,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,26.7,35.7,4.1,0.6,23600,OSRM public demo server,routed,,39,검복길 0.8km → 342 / 남한산성로 5.1km → 43 / 회안대로 2.1km → 43 / 하남대로 6.1km → 189 / 창우로 2.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_496dda5a33,propulsion,Motor / Propulsion,4405,4450,4405,B,0.621,0.842,grid_zone_4f20da2a,0.463,0.713,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,priority_final_assembly_factory,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,인천 로봇타워 R&D·제조거점,13.3,18.1,2.0,0.3,11900,OSRM public demo server,routed,,27,unnamed road 2.5km → 광명로 1.7km → 110 / 제2경인고속도로 2.7km → 100 / 수도권제1순환고속도로 1.9km → 소사로 2.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_b9b6abc2fa,propulsion,Motor / Propulsion,3910,3950,3910,C,0.601,0.842,grid_zone_bfcc2516,0.737,0.543,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,82.9,77.2,12.8,1.29,57700,OSRM public demo server,routed,,28,302 / 진안로 2.3km → 302 / 종합운동장로 2.2km → unnamed road 3.1km → 29 / 세종포천고속도로 38.4km → 43 / 포은대로 3.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_a4d3f730aa,propulsion,Motor / Propulsion,3019,3050,3019,C,0.471,0.873,grid_zone_3964bd52,0.517,0.679,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,priority_final_assembly_factory,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,인천 로봇타워 R&D·제조거점,15.3,18.0,2.4,0.3,12400,OSRM public demo server,routed,,25,서부간선도로 3.2km → 가산디지털2로 0.8km → 디지털로 0.8km → 오리로 3.7km → 46 / 경인로 4.0km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_39453d026e,sensor_payload,Sensor / Camera,2178,2200,2178,B,0.64,0.903,grid_zone_bfcc2516,0.729,0.548,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,31.0,31.2,4.8,0.52,22700,OSRM public demo server,routed,,32,35 / 중부고속도로 17.3km → unnamed road 2.4km → 189 / 창우로 2.2km → 45 6.2km → 16 / 북한강로 0.8km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_864caccf17,sensor_payload,Sensor / Camera,2054,2075,2054,B,0.639,0.893,grid_zone_49414766,0.454,0.719,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,priority_final_assembly_factory,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,52.9,46.0,8.1,0.77,35300,OSRM public demo server,routed,,20,17 / 공항로 1.4km → unnamed road 3.5km → 96; 540 / 오창대로 1.5km → 35 / 중부고속도로 14.4km → 1 / 경부고속도로 17.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_574770868e,sensor_payload,Sensor / Camera,2178,2200,2178,B,0.639,0.893,grid_zone_4f20da2a,0.448,0.722,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,priority_final_assembly_factory,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,27.2,27.6,4.2,0.46,20000,OSRM public demo server,routed,,27,"42 / 수인로 1.7km → unnamed road 1.6km → 마유로 2.2km → 100 / 수도권제1순환고속도로 10.3km → 120: 서울, 인천 0.8km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_5b9b5c4665,sensor_payload,Sensor / Camera,2301,2325,2301,B,0.662,0.873,grid_zone_a1097f3c,0.453,0.719,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,priority_final_assembly_factory,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,42.2,41.8,6.5,0.7,30500,OSRM public demo server,routed,,26,unnamed road 4.8km → 자여로 1.7km → 10 / 남해고속도로 12.4km → 104 / 남해고속도로제2지선 5.1km → 율하4로 1.1km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_700aec486e,sensor_payload,Sensor / Camera,1289,2225,2202,B,0.624,0.873,grid_zone_bfcc2516,0.722,0.552,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,15.1,15.8,2.3,0.26,11300,OSRM public demo server,routed,,16,강변북로 1.5km → unnamed road 0.4km → 37 / 여주북로 7.6km → 37 / 여양로 4.7km → 70 / 여양1로 0.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
baseline,Baseline Production Plan,fac_94c213e613,airframe,Airframe / Materials,2920,2950,2920,B,0.639,0.923,grid_zone_bfcc2516,0.717,0.555,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,28.3,29.9,4.4,0.5,21400,OSRM public demo server,routed,,28,재안동길 0.5km → 봉상길 1.2km → 6; 44 / 경강로 12.7km → 88 1.8km → 37 / 양평로 7.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,0.12,normal public-data uncertainty,primary
